temperature,experiment_start_date,plate,well_setup,well_id,treatment,treatment_b
30,March 8 2017,A,1,101,blank_3,blank_3
30,March 8 2017,A,2,102,glyc_1,glyc_1
30,March 8 2017,A,3,103,glyc_1,glyc_1
30,March 8 2017,A,4,104,glyc_1,glyc_1
30,March 8 2017,A,5,105,glyc_1,glyc_1
30,March 8 2017,A,6,106,glyc_1,glyc_1
30,March 8 2017,A,7,107,glyc_1,glyc_1
30,March 8 2017,A,8,108,glyc_1,glyc_1
30,March 8 2017,A,9,109,glyc_1,glyc_1
30,March 8 2017,A,10,110,blank_3,blank_3
30,March 8 2017,A,11,111,glyc_3,glyc_3
30,March 8 2017,A,12,112,glyc_3,glyc_3
30,March 8 2017,A,13,113,glyc_3,glyc_3
30,March 8 2017,A,14,114,glyc_3,glyc_3
30,March 8 2017,A,15,115,glyc_3,glyc_3
30,March 8 2017,A,16,116,glyc_3,glyc_3
30,March 8 2017,A,17,117,glyc_3,glyc_3
30,March 8 2017,A,18,118,glyc_3,glyc_3
30,March 8 2017,A,19,119,glyc_3,glyc_3
30,March 8 2017,A,20,120,glyc_3,glyc_3
30,March 8 2017,A,21,121,blank_3,blank_3
30,March 8 2017,A,22,122,glyc_1,glyc_1
30,March 8 2017,A,23,123,glyc_1,glyc_1
30,March 8 2017,A,24,124,glyc_1,glyc_1
30,March 8 2017,A,25,125,glyc_1,glyc_1
30,March 8 2017,A,26,126,glyc_1,glyc_1
30,March 8 2017,A,27,127,glyc_1,glyc_1
30,March 8 2017,A,28,128,glyc_1,glyc_1
30,March 8 2017,A,29,129,glyc_1,glyc_1
30,March 8 2017,A,30,130,blank_3,blank_3
30,March 8 2017,A,31,131,glyc_3,glyc_3
30,March 8 2017,A,32,132,glyc_3,glyc_3
30,March 8 2017,A,33,133,glyc_3,glyc_3
30,March 8 2017,A,34,134,glyc_3,glyc_3
30,March 8 2017,A,35,135,glyc_3,glyc_3
30,March 8 2017,A,36,136,glyc_3,glyc_3
30,March 8 2017,A,37,137,glyc_3,glyc_3
30,March 8 2017,A,38,138,glyc_3,glyc_3
30,March 8 2017,A,39,139,glyc_3,glyc_3
30,March 8 2017,A,40,140,glyc_3,glyc_3
30,March 8 2017,A,41,141,glyc_1,glyc_1
30,March 8 2017,A,42,142,glyc_1,glyc_1
30,March 8 2017,A,43,143,glyc_1,glyc_1
30,March 8 2017,A,44,144,glyc_1,glyc_1
30,March 8 2017,A,45,145,glyc_1,glyc_1
30,March 8 2017,A,46,146,glyc_1,glyc_1
30,March 8 2017,A,47,147,glyc_1,glyc_1
30,March 8 2017,A,48,148,glyc_1,glyc_1
30,March 8 2017,A,49,149,glyc_1,glyc_1
30,March 8 2017,A,50,150,glyc_1,glyc_1
30,March 8 2017,A,51,151,glyc_3,glyc_3
30,March 8 2017,A,52,152,glyc_3,glyc_3
30,March 8 2017,A,53,153,glyc_3,glyc_3
30,March 8 2017,A,54,154,glyc_3,glyc_3
30,March 8 2017,A,55,155,glyc_3,glyc_3
30,March 8 2017,A,56,156,glyc_3,glyc_3
30,March 8 2017,A,57,157,glyc_3,glyc_3
30,March 8 2017,A,58,158,glyc_3,glyc_3
30,March 8 2017,A,59,159,glyc_3,glyc_3
30,March 8 2017,A,60,160,glyc_3,glyc_3
30,March 8 2017,A,61,161,blank_1,blank_1
30,March 8 2017,A,62,162,glyc_1,glyc_1
30,March 8 2017,A,63,163,glyc_1,glyc_1
30,March 8 2017,A,64,164,glyc_1,glyc_1
30,March 8 2017,A,65,165,glyc_1,glyc_1
30,March 8 2017,A,66,166,glyc_1,glyc_1
30,March 8 2017,A,67,167,glyc_1,glyc_1
30,March 8 2017,A,68,168,glyc_1,glyc_1
30,March 8 2017,A,69,169,glyc_1,glyc_1
30,March 8 2017,A,70,170,glyc_1,glyc_1
30,March 8 2017,A,71,171,glyc_3,glyc_3
30,March 8 2017,A,72,172,glyc_3,glyc_3
30,March 8 2017,A,73,173,glyc_3,glyc_3
30,March 8 2017,A,74,174,glyc_3,glyc_3
30,March 8 2017,A,75,175,glyc_3,glyc_3
30,March 8 2017,A,76,176,glyc_3,glyc_3
30,March 8 2017,A,77,177,glyc_3,glyc_3
30,March 8 2017,A,78,178,glyc_3,glyc_3
30,March 8 2017,A,79,179,glyc_3,glyc_3
30,March 8 2017,A,80,180,glyc_3,glyc_3
30,March 8 2017,A,81,181,blank_1,blank_1
30,March 8 2017,A,82,182,glyc_1,glyc_1
30,March 8 2017,A,83,183,glyc_1,glyc_1
30,March 8 2017,A,84,184,glyc_1,glyc_1
30,March 8 2017,A,85,185,glyc_1,glyc_1
30,March 8 2017,A,86,186,glyc_1,glyc_1
30,March 8 2017,A,87,187,glyc_1,glyc_1
30,March 8 2017,A,88,188,glyc_1,glyc_1
30,March 8 2017,A,89,189,glyc_1,glyc_1
30,March 8 2017,A,90,190,glyc_1,glyc_1
30,March 8 2017,A,91,191,glyc_3,glyc_3
30,March 8 2017,A,92,192,glyc_3,glyc_3
30,March 8 2017,A,93,193,glyc_3,glyc_3
30,March 8 2017,A,94,194,glyc_3,glyc_3
30,March 8 2017,A,95,195,glyc_3,glyc_3
30,March 8 2017,A,96,196,glyc_3,glyc_3
30,March 8 2017,A,97,197,glyc_3,glyc_3
30,March 8 2017,A,98,198,glyc_3,glyc_3
30,March 8 2017,A,99,199,glyc_3,glyc_3
30,March 8 2017,A,100,200,blank_1,blank_1
30,March 8 2017,B,1,201,blank_3,blank_3
30,March 8 2017,B,2,202,glyc_3,glyc_1
30,March 8 2017,B,3,203,glyc_3,glyc_1
30,March 8 2017,B,4,204,glyc_3,glyc_1
30,March 8 2017,B,5,205,glyc_3,glyc_1
30,March 8 2017,B,6,206,glyc_3,glyc_1
30,March 8 2017,B,7,207,glyc_3,glyc_1
30,March 8 2017,B,8,208,glyc_3,glyc_1
30,March 8 2017,B,9,209,glyc_3,glyc_1
30,March 8 2017,B,10,210,blank_3,blank_3
30,March 8 2017,B,11,211,glyc_1,glyc_3
30,March 8 2017,B,12,212,glyc_1,glyc_3
30,March 8 2017,B,13,213,glyc_1,glyc_3
30,March 8 2017,B,14,214,glyc_1,glyc_3
30,March 8 2017,B,15,215,glyc_1,glyc_3
30,March 8 2017,B,16,216,glyc_1,glyc_3
30,March 8 2017,B,17,217,glyc_1,glyc_3
30,March 8 2017,B,18,218,glyc_1,glyc_3
30,March 8 2017,B,19,219,glyc_1,glyc_3
30,March 8 2017,B,20,220,glyc_1,glyc_3
30,March 8 2017,B,21,221,glyc_3,glyc_1
30,March 8 2017,B,22,222,glyc_3,glyc_1
30,March 8 2017,B,23,223,glyc_3,glyc_1
30,March 8 2017,B,24,224,glyc_3,glyc_1
30,March 8 2017,B,25,225,glyc_3,glyc_1
30,March 8 2017,B,26,226,glyc_3,glyc_1
30,March 8 2017,B,27,227,glyc_3,glyc_1
30,March 8 2017,B,28,228,glyc_3,glyc_1
30,March 8 2017,B,29,229,glyc_3,glyc_1
30,March 8 2017,B,30,230,glyc_3,glyc_1
30,March 8 2017,B,31,231,glyc_1,glyc_3
30,March 8 2017,B,32,232,glyc_1,glyc_3
30,March 8 2017,B,33,233,glyc_1,glyc_3
30,March 8 2017,B,34,234,glyc_1,glyc_3
30,March 8 2017,B,35,235,glyc_1,glyc_3
30,March 8 2017,B,36,236,glyc_1,glyc_3
30,March 8 2017,B,37,237,glyc_1,glyc_3
30,March 8 2017,B,38,238,glyc_1,glyc_3
30,March 8 2017,B,39,239,glyc_1,glyc_3
30,March 8 2017,B,40,240,glyc_1,glyc_3
30,March 8 2017,B,41,241,glyc_3,glyc_1
30,March 8 2017,B,42,242,glyc_3,glyc_1
30,March 8 2017,B,43,243,glyc_3,glyc_1
30,March 8 2017,B,44,244,glyc_3,glyc_1
30,March 8 2017,B,45,245,glyc_3,glyc_1
30,March 8 2017,B,46,246,glyc_3,glyc_1
30,March 8 2017,B,47,247,glyc_3,glyc_1
30,March 8 2017,B,48,248,glyc_3,glyc_1
30,March 8 2017,B,49,249,glyc_3,glyc_1
30,March 8 2017,B,50,250,glyc_3,glyc_1
30,March 8 2017,B,51,251,glyc_1,glyc_3
30,March 8 2017,B,52,252,glyc_1,glyc_3
30,March 8 2017,B,53,253,glyc_1,glyc_3
30,March 8 2017,B,54,254,glyc_1,glyc_3
30,March 8 2017,B,55,255,glyc_1,glyc_3
30,March 8 2017,B,56,256,glyc_1,glyc_3
30,March 8 2017,B,57,257,glyc_1,glyc_3
30,March 8 2017,B,58,258,glyc_1,glyc_3
30,March 8 2017,B,59,259,glyc_1,glyc_3
30,March 8 2017,B,60,260,glyc_1,glyc_3
30,March 8 2017,B,61,261,glyc_3,glyc_1
30,March 8 2017,B,62,262,glyc_3,glyc_1
30,March 8 2017,B,63,263,glyc_3,glyc_1
30,March 8 2017,B,64,264,glyc_3,glyc_1
30,March 8 2017,B,65,265,glyc_3,glyc_1
30,March 8 2017,B,66,266,glyc_3,glyc_1
30,March 8 2017,B,67,267,glyc_3,glyc_1
30,March 8 2017,B,68,268,glyc_3,glyc_1
30,March 8 2017,B,69,269,glyc_3,glyc_1
30,March 8 2017,B,70,270,glyc_3,glyc_1
30,March 8 2017,B,71,271,glyc_1,glyc_3
30,March 8 2017,B,72,272,glyc_1,glyc_3
30,March 8 2017,B,73,273,glyc_1,glyc_3
30,March 8 2017,B,74,274,glyc_1,glyc_3
30,March 8 2017,B,75,275,glyc_1,glyc_3
30,March 8 2017,B,76,276,glyc_1,glyc_3
30,March 8 2017,B,77,277,glyc_1,glyc_3
30,March 8 2017,B,78,278,glyc_1,glyc_3
30,March 8 2017,B,79,279,glyc_1,glyc_3
30,March 8 2017,B,80,280,glyc_1,glyc_3
30,March 8 2017,B,81,281,glyc_3,glyc_1
30,March 8 2017,B,82,282,glyc_3,glyc_1
30,March 8 2017,B,83,283,glyc_3,glyc_1
30,March 8 2017,B,84,284,glyc_3,glyc_1
30,March 8 2017,B,85,285,glyc_3,glyc_1
30,March 8 2017,B,86,286,glyc_3,glyc_1
30,March 8 2017,B,87,287,glyc_3,glyc_1
30,March 8 2017,B,88,288,glyc_3,glyc_1
30,March 8 2017,B,89,289,glyc_3,glyc_1
30,March 8 2017,B,90,290,glyc_3,glyc_1
30,March 8 2017,B,91,291,glyc_1,glyc_3
30,March 8 2017,B,92,292,glyc_1,glyc_3
30,March 8 2017,B,93,293,glyc_1,glyc_3
30,March 8 2017,B,94,294,glyc_1,glyc_3
30,March 8 2017,B,95,295,glyc_1,glyc_3
30,March 8 2017,B,96,296,glyc_1,glyc_3
30,March 8 2017,B,97,297,glyc_1,glyc_3
30,March 8 2017,B,98,298,glyc_1,glyc_3
30,March 8 2017,B,99,299,blank_1,blank_1
30,March 8 2017,B,100,300,blank_1,blank_1
