Date/Time,Unit,Value
2/17/2017 11:23:00,C,18
2/17/2017 11:24:00,C,18
2/17/2017 11:25:00,C,17.5
2/17/2017 11:26:00,C,17.5
2/17/2017 11:27:00,C,17.5
2/17/2017 11:28:00,C,17.5
2/17/2017 11:29:00,C,17.5
2/17/2017 11:30:00,C,17.5
2/17/2017 11:31:00,C,17.5
2/17/2017 11:32:00,C,17.5
2/17/2017 11:33:00,C,17.5
2/17/2017 11:34:00,C,17.5
2/17/2017 11:35:00,C,17.5
2/17/2017 11:36:00,C,17.5
2/17/2017 11:37:00,C,17.5
2/17/2017 11:38:00,C,17.5
2/17/2017 11:39:00,C,17.5
2/17/2017 11:40:00,C,17.5
2/17/2017 11:41:00,C,17.5
2/17/2017 11:42:00,C,17.5
2/17/2017 11:43:00,C,17.5
2/17/2017 11:44:00,C,17.5
2/17/2017 11:45:00,C,17.5
2/17/2017 11:46:00,C,17.5
2/17/2017 11:47:00,C,17.5
2/17/2017 11:48:00,C,17.5
2/17/2017 11:49:00,C,17.5
2/17/2017 11:50:00,C,17.5
2/17/2017 11:51:00,C,17.5
2/17/2017 11:52:00,C,17.5
2/17/2017 11:53:00,C,17.5
2/17/2017 11:54:00,C,17.5
2/17/2017 11:55:00,C,17.5
2/17/2017 11:56:00,C,17.5
2/17/2017 11:57:00,C,17.5
2/17/2017 11:58:00,C,17.5
2/17/2017 11:59:00,C,17.5
2/17/2017 12:00:00,C,17.5
2/17/2017 12:01:00,C,17.5
2/17/2017 12:02:00,C,17.5
2/17/2017 12:03:00,C,17.5
2/17/2017 12:04:00,C,17.5
2/17/2017 12:05:00,C,17.5
2/17/2017 12:06:00,C,17.5
2/17/2017 12:07:00,C,17.5
2/17/2017 12:08:00,C,17.5
2/17/2017 12:09:00,C,17.5
2/17/2017 12:10:00,C,17.5
2/17/2017 12:11:00,C,17.5
2/17/2017 12:12:00,C,17.5
2/17/2017 12:13:00,C,17.5
2/17/2017 12:14:00,C,17.5
2/17/2017 12:15:00,C,17.5
2/17/2017 12:16:00,C,17.5
2/17/2017 12:17:00,C,17.5
2/17/2017 12:18:00,C,17.5
2/17/2017 12:19:00,C,17.5
2/17/2017 12:20:00,C,17.5
2/17/2017 12:21:00,C,17.5
2/17/2017 12:22:00,C,17.5
2/17/2017 12:23:00,C,17.5
2/17/2017 12:24:00,C,17.5
2/17/2017 12:25:00,C,17.5
2/17/2017 12:26:00,C,17.5
2/17/2017 12:27:00,C,17.5
2/17/2017 12:28:00,C,17.5
2/17/2017 12:29:00,C,17.5
2/17/2017 12:30:00,C,17.5
2/17/2017 12:31:00,C,17.5
2/17/2017 12:32:00,C,17.5
2/17/2017 12:33:00,C,17.5
2/17/2017 12:34:00,C,17.5
2/17/2017 12:35:00,C,17.5
2/17/2017 12:36:00,C,17.5
2/17/2017 12:37:00,C,17.5
2/17/2017 12:38:00,C,17.5
2/17/2017 12:39:00,C,17.5
2/17/2017 12:40:00,C,17.5
2/17/2017 12:41:00,C,17.5
2/17/2017 12:42:00,C,17.5
2/17/2017 12:43:00,C,17.5
2/17/2017 12:44:00,C,17.5
2/17/2017 12:45:00,C,17.5
2/17/2017 12:46:00,C,17.5
2/17/2017 12:47:00,C,17.5
2/17/2017 12:48:00,C,17.5
2/17/2017 12:49:00,C,17.5
2/17/2017 12:50:00,C,17.5
2/17/2017 12:51:00,C,17.5
2/17/2017 12:52:00,C,17.5
2/17/2017 12:53:00,C,17.5
2/17/2017 12:54:00,C,17.5
2/17/2017 12:55:00,C,17.5
2/17/2017 12:56:00,C,17.5
2/17/2017 12:57:00,C,17.5
2/17/2017 12:58:00,C,17.5
2/17/2017 12:59:00,C,17.5
2/17/2017 13:00:00,C,17.5
2/17/2017 13:01:00,C,17.5
2/17/2017 13:02:00,C,17.5
2/17/2017 13:03:00,C,17.5
2/17/2017 13:04:00,C,17.5
2/17/2017 13:05:00,C,18
2/17/2017 13:06:00,C,18.5
2/17/2017 13:07:00,C,19
2/17/2017 13:08:00,C,19
2/17/2017 13:09:00,C,22.5
2/17/2017 13:10:00,C,24
2/17/2017 13:11:00,C,25
2/17/2017 13:12:00,C,23.5
2/17/2017 13:13:00,C,22.5
2/17/2017 13:14:00,C,22
2/17/2017 13:15:00,C,22
2/17/2017 13:16:00,C,22
2/17/2017 13:17:00,C,22
2/17/2017 13:18:00,C,23.5
2/17/2017 13:19:00,C,23.5
2/17/2017 13:20:00,C,23
2/17/2017 13:21:00,C,23
2/17/2017 13:22:00,C,23
2/17/2017 13:23:00,C,22
2/17/2017 13:24:00,C,22.5
2/17/2017 13:25:00,C,23
2/17/2017 13:26:00,C,23.5
2/17/2017 13:27:00,C,25
2/17/2017 13:28:00,C,25.5
2/17/2017 13:29:00,C,25.5
2/17/2017 13:30:00,C,25
2/17/2017 13:31:00,C,25
2/17/2017 13:32:00,C,25
2/17/2017 13:33:00,C,25
2/17/2017 13:34:00,C,25
2/17/2017 13:35:00,C,25
2/17/2017 13:36:00,C,25
2/17/2017 13:37:00,C,25
2/17/2017 13:38:00,C,25
2/17/2017 13:39:00,C,25
2/17/2017 13:40:00,C,25
2/17/2017 13:41:00,C,25
2/17/2017 13:42:00,C,25
2/17/2017 13:43:00,C,25
2/17/2017 13:44:00,C,25
2/17/2017 13:45:00,C,25
2/17/2017 13:46:00,C,25
2/17/2017 13:47:00,C,25
2/17/2017 13:48:00,C,25
2/17/2017 13:49:00,C,25
2/17/2017 13:50:00,C,25
2/17/2017 13:51:00,C,25
2/17/2017 13:52:00,C,25
2/17/2017 13:53:00,C,25
2/17/2017 13:54:00,C,25
2/17/2017 13:55:00,C,25
2/17/2017 13:56:00,C,25
2/17/2017 13:57:00,C,25
2/17/2017 13:58:00,C,25
2/17/2017 13:59:00,C,25
2/17/2017 14:00:00,C,25
2/17/2017 14:01:00,C,25
2/17/2017 14:02:00,C,25
2/17/2017 14:03:00,C,25
2/17/2017 14:04:00,C,25
2/17/2017 14:05:00,C,25
2/17/2017 14:06:00,C,25
2/17/2017 14:07:00,C,25
2/17/2017 14:08:00,C,25
2/17/2017 14:09:00,C,25
2/17/2017 14:10:00,C,25
2/17/2017 14:11:00,C,25
2/17/2017 14:12:00,C,25
2/17/2017 14:13:00,C,25
2/17/2017 14:14:00,C,25
2/17/2017 14:15:00,C,25
2/17/2017 14:16:00,C,25
2/17/2017 14:17:00,C,25
2/17/2017 14:18:00,C,25
2/17/2017 14:19:00,C,25
2/17/2017 14:20:00,C,25
2/17/2017 14:21:00,C,25
2/17/2017 14:22:00,C,25
2/17/2017 14:23:00,C,25
2/17/2017 14:24:00,C,25
2/17/2017 14:25:00,C,25
2/17/2017 14:26:00,C,25
2/17/2017 14:27:00,C,25
2/17/2017 14:28:00,C,25
2/17/2017 14:29:00,C,25
2/17/2017 14:30:00,C,25
2/17/2017 14:31:00,C,25
2/17/2017 14:32:00,C,25
2/17/2017 14:33:00,C,25
2/17/2017 14:34:00,C,25
2/17/2017 14:35:00,C,25
2/17/2017 14:36:00,C,25
2/17/2017 14:37:00,C,25
2/17/2017 14:38:00,C,25
2/17/2017 14:39:00,C,25
2/17/2017 14:40:00,C,25
2/17/2017 14:41:00,C,25
2/17/2017 14:42:00,C,25
2/17/2017 14:43:00,C,25
2/17/2017 14:44:00,C,25
2/17/2017 14:45:00,C,25
2/17/2017 14:46:00,C,25
2/17/2017 14:47:00,C,25
2/17/2017 14:48:00,C,25
2/17/2017 14:49:00,C,25
2/17/2017 14:50:00,C,25
2/17/2017 14:51:00,C,25
2/17/2017 14:52:00,C,25
2/17/2017 14:53:00,C,25
2/17/2017 14:54:00,C,25
2/17/2017 14:55:00,C,25
2/17/2017 14:56:00,C,25
2/17/2017 14:57:00,C,25
2/17/2017 14:58:00,C,25
2/17/2017 14:59:00,C,25
2/17/2017 15:00:00,C,25
2/17/2017 15:01:00,C,25
2/17/2017 15:02:00,C,25
2/17/2017 15:03:00,C,25
2/17/2017 15:04:00,C,25
2/17/2017 15:05:00,C,25
2/17/2017 15:06:00,C,25
2/17/2017 15:07:00,C,25
2/17/2017 15:08:00,C,25
2/17/2017 15:09:00,C,25
2/17/2017 15:10:00,C,25
2/17/2017 15:11:00,C,25
2/17/2017 15:12:00,C,25
2/17/2017 15:13:00,C,25
2/17/2017 15:14:00,C,25
2/17/2017 15:15:00,C,25
2/17/2017 15:16:00,C,25
2/17/2017 15:17:00,C,25
2/17/2017 15:18:00,C,25
2/17/2017 15:19:00,C,25
2/17/2017 15:20:00,C,25
2/17/2017 15:21:00,C,25
2/17/2017 15:22:00,C,25
2/17/2017 15:23:00,C,25
2/17/2017 15:24:00,C,25
2/17/2017 15:25:00,C,25
2/17/2017 15:26:00,C,25
2/17/2017 15:27:00,C,25
2/17/2017 15:28:00,C,25
2/17/2017 15:29:00,C,25.5
2/17/2017 15:30:00,C,25.5
2/17/2017 15:31:00,C,25.5
2/17/2017 15:32:00,C,25.5
2/17/2017 15:33:00,C,25.5
2/17/2017 15:34:00,C,25.5
2/17/2017 15:35:00,C,25.5
2/17/2017 15:36:00,C,26
2/17/2017 15:37:00,C,26
2/17/2017 15:38:00,C,26
2/17/2017 15:39:00,C,26
2/17/2017 15:40:00,C,26
2/17/2017 15:41:00,C,26
2/17/2017 15:42:00,C,26
2/17/2017 15:43:00,C,26
2/17/2017 15:44:00,C,26
2/17/2017 15:45:00,C,26
2/17/2017 15:46:00,C,26
2/17/2017 15:47:00,C,26
2/17/2017 15:48:00,C,26
2/17/2017 15:49:00,C,26
2/17/2017 15:50:00,C,26.5
2/17/2017 15:51:00,C,26.5
2/17/2017 15:52:00,C,26.5
2/17/2017 15:53:00,C,26.5
2/17/2017 15:54:00,C,26.5
2/17/2017 15:55:00,C,26.5
2/17/2017 15:56:00,C,26.5
2/17/2017 15:57:00,C,26.5
2/17/2017 15:58:00,C,26.5
2/17/2017 15:59:00,C,26.5
2/17/2017 16:00:00,C,26.5
2/17/2017 16:01:00,C,26.5
2/17/2017 16:02:00,C,26.5
2/17/2017 16:03:00,C,26.5
2/17/2017 16:04:00,C,26.5
2/17/2017 16:05:00,C,26.5
2/17/2017 16:06:00,C,26.5
2/17/2017 16:07:00,C,26.5
2/17/2017 16:08:00,C,26.5
2/17/2017 16:09:00,C,26.5
2/17/2017 16:10:00,C,26.5
2/17/2017 16:11:00,C,26.5
2/17/2017 16:12:00,C,26.5
2/17/2017 16:13:00,C,27
2/17/2017 16:14:00,C,27
2/17/2017 16:15:00,C,27
2/17/2017 16:16:00,C,27
2/17/2017 16:17:00,C,27
2/17/2017 16:18:00,C,27
2/17/2017 16:19:00,C,27
2/17/2017 16:20:00,C,27
2/17/2017 16:21:00,C,27
2/17/2017 16:22:00,C,26
2/17/2017 16:23:00,C,25
2/17/2017 16:24:00,C,23.5
2/17/2017 16:25:00,C,22.5
2/17/2017 16:26:00,C,22
2/17/2017 16:27:00,C,21.5
2/17/2017 16:28:00,C,21
2/17/2017 16:29:00,C,20.5
2/17/2017 16:30:00,C,20
2/17/2017 16:31:00,C,19.5
2/17/2017 16:32:00,C,19
2/17/2017 16:33:00,C,19
2/17/2017 16:34:00,C,18.5
2/17/2017 16:35:00,C,18.5
2/17/2017 16:36:00,C,18.5
2/17/2017 16:37:00,C,18
2/17/2017 16:38:00,C,18
2/17/2017 16:39:00,C,18
2/17/2017 16:40:00,C,18
2/17/2017 16:41:00,C,17.5
2/17/2017 16:42:00,C,17.5
2/17/2017 16:43:00,C,17.5
2/17/2017 16:44:00,C,17.5
2/17/2017 16:45:00,C,17.5
2/17/2017 16:46:00,C,17
2/17/2017 16:47:00,C,17
2/17/2017 16:48:00,C,17
2/17/2017 16:49:00,C,17
2/17/2017 16:50:00,C,17
2/17/2017 16:51:00,C,17
2/17/2017 16:52:00,C,17
2/17/2017 16:53:00,C,17
2/17/2017 16:54:00,C,17
2/17/2017 16:55:00,C,17
2/17/2017 16:56:00,C,17
2/17/2017 16:57:00,C,16.5
2/17/2017 16:58:00,C,16.5
2/17/2017 16:59:00,C,16.5
2/17/2017 17:00:00,C,16.5
2/17/2017 17:01:00,C,16.5
2/17/2017 17:02:00,C,16.5
2/17/2017 17:03:00,C,16.5
2/17/2017 17:04:00,C,16.5
2/17/2017 17:05:00,C,16.5
2/17/2017 17:06:00,C,16.5
2/17/2017 17:07:00,C,16.5
2/17/2017 17:08:00,C,16.5
2/17/2017 17:09:00,C,16.5
2/17/2017 17:10:00,C,16.5
2/17/2017 17:11:00,C,16.5
2/17/2017 17:12:00,C,16.5
2/17/2017 17:13:00,C,16.5
2/17/2017 17:14:00,C,16.5
2/17/2017 17:15:00,C,16.5
2/17/2017 17:16:00,C,16.5
2/17/2017 17:17:00,C,17
2/17/2017 17:18:00,C,17.5
2/17/2017 17:19:00,C,18
2/17/2017 17:20:00,C,18.5
2/17/2017 17:21:00,C,20
2/17/2017 17:22:00,C,23
2/17/2017 17:23:00,C,24
