Date/Time,Unit,Value
2/17/2017 10:14:00,C,24.5
2/17/2017 10:15:00,C,22.5
2/17/2017 10:16:00,C,21.5
2/17/2017 10:17:00,C,22.5
2/17/2017 10:18:00,C,21.5
2/17/2017 10:19:00,C,21.5
2/17/2017 10:20:00,C,21.5
2/17/2017 10:21:00,C,21
2/17/2017 10:22:00,C,21
2/17/2017 10:23:00,C,21
2/17/2017 10:24:00,C,21
2/17/2017 10:25:00,C,21.5
2/17/2017 10:26:00,C,21
2/17/2017 10:27:00,C,21
2/17/2017 10:28:00,C,22
2/17/2017 10:29:00,C,22
2/17/2017 10:30:00,C,22
2/17/2017 10:31:00,C,21.5
2/17/2017 10:32:00,C,21.5
2/17/2017 10:33:00,C,21.5
2/17/2017 10:34:00,C,21.5
2/17/2017 10:35:00,C,21.5
2/17/2017 10:36:00,C,21.5
2/17/2017 10:37:00,C,21.5
2/17/2017 10:38:00,C,21.5
2/17/2017 10:39:00,C,21.5
2/17/2017 10:40:00,C,21.5
2/17/2017 10:41:00,C,21.5
2/17/2017 10:42:00,C,23
2/17/2017 10:43:00,C,23.5
2/17/2017 10:44:00,C,24
2/17/2017 10:45:00,C,23.5
2/17/2017 10:46:00,C,23.5
2/17/2017 10:47:00,C,23.5
2/17/2017 10:48:00,C,23
2/17/2017 10:49:00,C,22.5
2/17/2017 10:50:00,C,22.5
2/17/2017 10:51:00,C,22.5
2/17/2017 10:52:00,C,22.5
2/17/2017 10:53:00,C,22.5
2/17/2017 10:54:00,C,22.5
2/17/2017 10:55:00,C,22.5
2/17/2017 10:56:00,C,22.5
2/17/2017 10:57:00,C,22.5
2/17/2017 10:58:00,C,22.5
2/17/2017 10:59:00,C,22.5
2/17/2017 11:00:00,C,22.5
2/17/2017 11:01:00,C,26
2/17/2017 11:02:00,C,27
2/17/2017 11:03:00,C,27
2/17/2017 11:04:00,C,27
2/17/2017 11:05:00,C,26.5
2/17/2017 11:06:00,C,25
2/17/2017 11:07:00,C,24
2/17/2017 11:08:00,C,23
2/17/2017 11:09:00,C,22.5
2/17/2017 11:10:00,C,21.5
2/17/2017 11:11:00,C,21
2/17/2017 11:12:00,C,20.5
2/17/2017 11:13:00,C,20
2/17/2017 11:14:00,C,20
2/17/2017 11:15:00,C,19.5
2/17/2017 11:16:00,C,19
2/17/2017 11:17:00,C,19
2/17/2017 11:18:00,C,18.5
2/17/2017 11:19:00,C,18.5
2/17/2017 11:20:00,C,18.5
2/17/2017 11:21:00,C,18
2/17/2017 11:22:00,C,18
